coa,coo,population_type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Djibouti,Somalia,Refugees,21698,21712,20251,25474,17331,9828,8642,5980,8522,11198,14216,19426,18289
Djibouti,Somalia,Asylum seekers,56,56,56,329,,,,20,,25,,4,35
Djibouti,Somalia,Others of concern,,,,,,,,,,,,2,
Eritrea,Somalia,Refugees,1253,1743,2990,3261,3523,3620,3792,4228,4675,4561,4556,4472,3440
Eritrea,Somalia,Asylum seekers,,,,,,37,46,58,128,130,135,,
Kenya,Somalia,Refugees,137376,144349,155767,154272,153627,150459,173702,192420,259121,310280,351773,517666,512069
Kenya,Somalia,Asylum seekers,110,3398,,45,4522,12454,11799,710,694,178,1435,1745,1223
Somalia,Somalia,Internally displaced,18000,,,,,400000,400000,1000000,1277200,1550000,1463780,1356845,1132963
Somalia,Somalia,Returned IDPs,,,,,,,,,,,,,10188
Somalia,Somalia,Others of concern,,,,,,,,,,,,11,38
Uganda,Somalia,Refugees,1236,819,879,892,1089,1811,3752,4573,6085,8172,11151,14023,19000
Uganda,Somalia,Asylum seekers,133,100,125,135,562,562,1055,1055,2154,3453,6260,7040,8143
Yemen,Somalia,Refugees,56524,67485,80763,59246,63511,78582,91587,110616,132275,161468,179845,204685,226909
